asin,parent_asin
B08GHC9WC1,B00WL2NV4W
B0814SWL7S,B00WN2LXT0
B08P3ZBK8S,B00WOPGCZ6
B079Y4K7MJ,B00WOPGCZ6
B00IUOMNNA,B00WOPGCZ6
B095SX2MC8,B00WOUJZXM
B00DHK6QM6,B00WOURYQM
B089VXP19G,B00WOURYQM
B088SR8T9J,B00WOURYQM
B088TBC44C,B00WOURYQM
B01MRZPLJI,B00WOURYQM
B08VGVVD58,B00WOURYQM
B08DP13S6K,B00WOUSAII
B097LNLJJJ,B00WOWMJAQ
B08WM2XG7R,B00WOWMJAQ
B088T6M87N,B00WOWMJAQ
B08B38G29F,B00WUOYPFA
B088SYLR1Q,B00WUOYPFA
B00GKMYMGU,B00WUOYPFA
B00CE02DZ4,B00WUOYPFA
B00B3Y2O10,B00WUOYPFA
B00LKR1PC4,B00WUOYPFA
B00IUONB36,B00WUOYPFA
B07WMZC4GB,B00WV8HBT2
B01IRCAO12,B00WV8HBT2
B088GWZYJR,B00WV8HBT2
B09B4F8CS2,B00WV8HBT2
B08P5948WZ,B00WV8HBT2
B088H5MGF7,B00WV8HBT2
B09B4F58G2,B00WV8HBT2
B088GN6YJX,B00WV8HBT2
B09B4F6XZ9,B00WV8HBT2
B09B4FJYJM,B00WV8HBT2
B086C8GHD5,B00WV8HBT2
B08MFSK32G,B00WV8HBT2
B08B3GL8Y8,B00Z11HJHU
B088B9V5BP,B01NBIKPOS
B08HW1ZR4V,B01NBIKPOS
B08P54VF3J,B01NBIKPOS
B097LLW3R1,B01NBIKPOS
B084SNHQR4,B01NBIKPOS
B01AM4G2BO,B01NBIKPOS
B08MFW2PF8,B06XWCZ52H
B07S1QCT48,B06XWCZ52H
B00IC8N2CK,B06XWCZ52H
B08P592Q41,B06XWCZ52H
B08P3YS2J3,B06XWCZ52H
B00I1HDD12,B06XWCZ52H
B01IE8J3KW,B06ZXWB4ZM
B00IWA1IO2,B06ZXWB4ZM
B00WR97WXU,B06ZXWB4ZM
B00WR97UIW,B06ZXWB4ZM
B00WR97JHO,B06ZXWB4ZM
B00WR97S4I,B06ZXWB4ZM
B00DZRTZ7E,B06ZXWB54P
B00DZRTWYK,B06ZXWB54P
B00RH6BFU4,B06ZXWB6B1
B08QNBX3JG,B06ZXWB6B1
B08MQV61PZ,B06ZXWB6WD
B01GDAMHUG,B06ZXWB6WD
B086P912V1,B06ZXWB6WD
B009KKDS6Y,B06ZXWB6WD
B009FEJFW6,B06ZXWB6WD
B0763YWT2R,B06ZXWB8MQ
B009DK2MYA,B06ZXWB8MQ
B009DK2IVW,B06ZXWB8MQ
B00985QQMO,B06ZXWB8MQ
B00985QOQ2,B06ZXWB98G
B0094T79IY,B06ZXWB98G
B01FFT1U72,B06ZXWB98G
B01FFT1Z0Y,B06ZXWB98G
B083H14S3N,B06ZXWB98G
B07QMNZPNF,B06ZXWB9Y7
B07QQVJ1VB,B06ZXWB9Y7
B008A2CQN4,B06ZXWB9Y7
B07SJP9MFY,B06ZXWB9Y7
B0084QBCZ4,B06ZXWB9Y7
B07QNMC6NL,B06ZXWB9Y7
B08B38G29F,B06ZXWBB7S
B01IRB8BRC,B06ZXWBB7S
B0741DFNBF,B06ZXWBB7S
B09WZF2C45,B06ZXWBBKT
B09DQ6RNZ8,B06ZXWBBKT
